Pool,Title,Author,Publication Title,Vote_1,Vote_2,Final_Decision,Rationale
Pool 1 (A&B),All Too Human? Mapping and Mitigating the Risks from Anthropomorphic AI,"Akbulut, Canfer; Weidinger, Laura; Manzini, Arianna; Gabriel, Iason; Rieser, Verena","Proceedings of the 2024 AAAI/ACM Conference on AI, Ethics, and Society",Include,Exclude,Include,Good info on anthropomorphic behaviours and their impacts on privacy and autonomy
Pool 1 (A&B),An Overview of User Psychological Manipulation Techniques in UI/UX Web Design,"Riaz, Rimsha; Vasconcelos, Aurora; Pinto, Pedro",2024 Cyber Awareness and Research Symposium (CARS),Exclude,For Consideration,Include,Valuable UI Dark Patterns background information for RQ1
Pool 1 (A&B),Anthropomorphism in Chatbot Systems Between Gender and Individual Differences,"Sun, Zhida; Reani, Manuele; Luo, Yunzhong; Bao, Zhuolan",Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,Include,For Consideration,Include,Application of chatbot gender on perceieved anthropomorphism
Pool 1 (A&B),Are UFOs driving innovation? The illusion of causality in large language models,"Carro, María Victoria; Selasco, Francisca Gauna; Mester, Denise Alejandra; Leiva, Mario Alejandro",,Include,For Consideration,Include,"Yes - sycophancy manopulation within GPT, Gemini"
Pool 1 (A&B),Assertion-Conditioned Compliance: A provenance-aware vulnerability in multi-turn tool-calling agents,"Waqas, Daud; Golthi, Aaryamaan; Hayashida, Erika; Mao, Huanzhi",,Exclude,For Consideration,Include,Good info on mechanisms and detectability approaches
Pool 1 (A&B),Automatically Detecting Online Deceptive Patterns,"Nayak, Asmit; Wani, Yash; Zhang, Shirley; Khandelwal, Rishabh; Fawaz, Kassem",Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,Exclude,Include,Include,Minor background context (focus on web GUI dark patterns) but has info on detection frameworks
Pool 1 (A&B),Automatically finding reward model biases,"Wang, Atticus; Arcuschin, Iván; Conmy, Arthur",,Exclude,For Consideration,Exclude,too broad
Pool 1 (A&B),BASIL: Bayesian assessment of sycophancy in LLMs,"Atwell, Katherine; Heydari, Pedram; Sicilia, Anthony; Alikhani, Malihe",,Include,For Consideration,Include,Bayesian influence may provide good info on why?
Pool 1 (A&B),Balancing Minds and Data: The Privacy Dilemma of LLMs and Anthropomorphism in LLMs,"Meier, R.",Journal of Social Computing,Include,Exclude,Include,Linked to our domain + good background info on Anthropomorphism
Pool 1 (A&B),"Be friendly, not friends: How LLM sycophancy shapes user trust","Sun, Yuan; Wang, Ting",,Include,For Consideration,Include,Good info on sycophancy regarding LLMs
Pool 1 (A&B),Beacon: Single-turn diagnosis and mitigation of latent sycophancy in large language models,"Pandey, Sanskar; Chopra, Ruhaan; Puniya, Angkul; Pal, Sohom",,Exclude,For Consideration,Include,(LEAN INCLUDE) - good info on mitigating sycophancy
Pool 1 (A&B),Behavioral Fingerprinting of Large Language Models,"Pei, Zehua; Zhen, Hui-Ling; Zhang, Ying; Yang, Zhiyuan; Li, Xing; Yu, Xianzhi; Yuan, Mingxuan; Yu, Bei",,Exclude,For Consideration,Exclude,Not really an empirical research - more performance related
Pool 1 (A&B),Beyond Scripted Apologies: Calibrating Trust with Dynamically Generated Responses,"Perkins, R.; Robinette, P.",,Include,Exclude,Include,Good info on dynamic generate (RQ1) on trust
Pool 1 (A&B),Bridging mechanistic interpretability and prompt engineering with gradient ascent for interpretable persona control,"Saini, Harshvardhan; Tang, Yiming; Liu, Dianbo",,Exclude,For Consideration,Exclude,Slightly too technical + not really an empirical HCI study
Pool 1 (A&B),BrokenMath: A benchmark for sycophancy in theorem proving with LLMs,"Petrov, Ivo; Dekoninck, Jasper; Vechev, Martin",,Exclude,For Consideration,Exclude,Too narrowed down in math domain + still decent application
Pool 1 (A&B),But what is your honest answer? Aiding LLM-judges with honest alternatives using steering vectors,"Eshuijs, Leon; Chaudhury, Archie; McBeth, Alan; Nguyen, Ethan",,Exclude,Include,Include,Interesting framework for detecting and treating dark patterns
Pool 1 (A&B),CLEAR: Towards Contextual LLM-Empowered Privacy Policy Analysis and Risk Generation for Large Language Model Applications,"Chen, Chaoran; Zhou, Daodao; Ye, Yanfang; Li, Toby Jia-Jun; Yao, Yaxing",Proceedings of the 30th International Conference on Intelligent User Interfaces,Include,Exclude,Exclude,Slightly too narrowed onto privacy
Pool 1 (A&B),CURATe: Benchmarking personalised alignment of conversational AI assistants,"Alberts, Lize; Ellis, Benjamin; Lupu, Andrei; Foerster, Jakob",,Exclude,For Consideration,Exclude,Too technical + other frameworks that are better
Pool 1 (A&B),Can we control what AI make us believe?,"CONVICTION, M.",Metode,Exclude,Include,Include,Good research on influence of persuasion in LLMs to users
Pool 1 (A&B),Can you trust an LLM with your life-changing decision? An investigation into AI high-stakes responses,"Cahyono, Joshua Adrian; Subramanian, Saran",,Include,Exclude,Include,Include
Pool 1 (A&B),"CausalT5K: Diagnosing and informing refusal for trustworthy causal reasoning of skepticism, sycophancy, detection-correction, and rung collapse","Geng, Longling; Ouyang, Andy; Wu, Theodore; Barretto, Daphne; Hayes, Matthew John; Cooper, Rachael; Zeng, Yuqiao; Vijay, Sameer; Ancone, Gia; Rai, Ankit; Wolfman, Matthew; Flanagan, Patrick; Chang, Edward Y",,Exclude,For Consideration,Exclude,Too technical
Pool 1 (A&B),Chaos with keywords: Exposing Large Language Models sycophantic hallucination to misleading keywords and evaluating defense strategies,"Rrv, Aswin; Tyagi, Nemika; Uddin, Md Nayem; Varshney, Neeraj; Baral, Chitta",,For Consideration,Include,Include,Speaks on sycophanics behaviours and mitigation + more background paper
Pool 1 (A&B),Characterizing Manipulation from AI Systems,"Carroll, Micah; Chan, Alan; Ashton, Henry; Krueger, David","Proceedings of the 3rd ACM Conference on Equity and Access in Algorithms, Mechanisms, and Optimization",Exclude,For Consideration,Exclude,Too broad with manipulation and only AI systems
Pool 1 (A&B),Combatting Dark Patterns: Evaluating the Effectiveness of Warning Interventions on User Behavior,"Deng, Wenxin; Go, Kentaro",2024 International Conference on Cyberworlds (CW),Exclude,Include,Exclude,Not sufficient for info on RQ1
Pool 1 (A&B),Conversational Breakdown in a Customer Service Chatbot: Impact of Task Order and Criticality on User Trust and Emotion,"Følstad, Asbjørn; Law, Effie L.-C.; van As, Nena",ACM Trans. Comput.-Hum. Interact.,Include,Exclude,Include,Useful for RQ3 for minimsing dark pattern impacts
Pool 1 (A&B),Conversational-linguistic politeness parameters for chatbot design: a card-based approach,"Monteiro, Mateus de Souza; Pereira, Vinícius Carvalho; Salgado, Luciana Cardoso de Castro",Proceedings of the XXIII Brazilian Symposium on Human Factors in Computing Systems,Include,Exclude,Exclude,Irrelevant to dark pattners
Pool 1 (A&B),DARPA: Combating Asymmetric Dark UI Patterns on Android with Run-time View Decorator,"Cai, Zhaoxin; Nan, Yuhong; Wang, Xueqiang; Long, Mengyi; Ou, Qihua; Yang, Min; Zheng, Zibin",2023 53rd Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),Exclude,For Consideration,Exclude,Too specific on GUI dark patterns
Pool 1 (A&B),DEAF: A benchmark for Diagnostic Evaluation of Acoustic Faithfulness in audio language models,"Jiaqi, Xiong; Yunjia, Qi; Qi, Cao; Yu, Zheng; Weisheng, Xu; Ziteng, Wang; Ruofan, Liao; Yutong, Zhang; Sichen, Liu",,Exclude,For Consideration,Exclude,Too distinct on audio dark patterns
Pool 1 (A&B),DPDGPT: Using Multimodal Large Language Models for automated detection of dark patterns,"Lin, F.; Nie, L.; Xue, L.; Zhang, X.; Zhang, K.",Information and Software Technology,Exclude,Include,Include,Useful for RQ3 on detection
Pool 1 (A&B),Dark Pattern Detection on Web Page using DistilBERT,"Rajput, Komal; Singh, Sunil; R, Kingsy Grace; S, Suresh Kumar; V, Saveetha; T, Vijaya Kumar",2025 IEEE First International Conference on Innovations in Engineering and Next-Generation Technologies for Sustainability (ICINVENTS),Exclude,Include,Include,Useful for RQ3 on limitations on current detection models
Pool 1 (A&B),Dark Patterns and Consumer Protection Law for App Makers,"Dickinson, Gregory M.",2025 Cyber Awareness and Research Symposium (CARS),Exclude,Include,Exclude,Not much material for LLM domain
Pool 1 (A&B),"Dark Patterns in Shopping, Education & Health Apps","Rahman, Parinda; Adaji, Ifeoma",2024 IEEE Digital Platforms and Societal Harms (DPSH),Exclude,For Consideration,Include,Good background paper for intro
Pool 1 (A&B),Dark patterns meet GUI agents: LLM agent susceptibility to manipulative interfaces and the role of human oversight,"Tang, Jingyu; Chen, Chaoran; Li, Jiawen; Zhang, Zhiping; Guo, Bingcan; Khalilov, Ibrahim; Gebreegziabher, Simret Araya; Yao, Bingsheng; Wang, Dakuo; Ye, Yanfang; Li, Tianshi; Xiao, Ziang; Yao, Yaxing; Li, Toby Jia-Jun",,Exclude,Include,Include,Interesting info for RQ3 of human oversight on detecting dark patterns
Pool 1 (A&B),DarkDialogs: Automated detection of 10 dark patterns on cookie dialogs,"Kirkman, Daniel; Vaniea, Kami; Woods, Daniel W.",2023 IEEE 8th European Symposium on Security and Privacy (EuroS&P),Exclude,For Consideration,Exclude,Too specific on cookies 
Pool 1 (A&B),DeceptiLens: an Approach supporting Transparency in Deceptive Pattern Detection based on a Multimodal Large Language Model,"Kocyigit, Emre; Rossi, Arianna; Sergeeva, Anastasia; Negri Ribalta, Claudia; Farjami, Ali; Lenzini, Gabriele","Proceedings of the 2025 ACM Conference on Fairness, Accountability, and Transparency",Exclude,Include,Include,Interesting detection framework (RQ3)
Pool 1 (A&B),Deception at scale: Deceptive designs in 1K LLM-generated ecommerce components,"Chen, Ziwei; Shen, Jiawen; Luna; Zhang, Hanyu; Vaccaro, Kristen",,Exclude,Include,Exclude,Interaction focus (non‑conversational / non‑adaptive AI interfaces
Pool 1 (A&B),Deceptive Patterns and Perceptual Risks in an Eye-Tracked Virtual Reality,"Ramirez, G. Nikki; Spivack, Jameson; David-John, Brendan",2024 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),Exclude,For Consideration,Exclude,A bit too far from conversational domain
Pool 1 (A&B),Deceptive patterns of intelligent and interactive writing assistants,"Benharrak, Karim; Zindulka, Tim; Buschek, Daniel",,Exclude,Include,Exclude,Potential mitigation -  not really an empirical study
Pool 1 (A&B),"Defining, Classifying and Identifying Addictive Patterns in Digital Products","Beltrán, Marta",IEEE Transactions on Technology and Society,Exclude,For Consideration,Exclude,Bit too broad for our selected domain
Pool 1 (A&B),Designing Dialogic Disclaimers: Principles for Ethical Conversational Design in LLM Interfaces,"Cheng, T.H.",,Exclude,For Consideration,Exclude,This particular ethics domain is not related to dark patterns
Pool 1 (A&B),Designing for Responsible Trust in AI Systems: A Communication Perspective,"Liao, Q.Vera; Sundar, S. Shyam","Proceedings of the 2022 ACM Conference on Fairness, Accountability, and Transparency",Exclude,For Consideration,Exclude,Too broad to be a background paper
Pool 1 (A&B),Digital Yes-Men: How to Deal With Sycophantic Military AI?,"Kwik, J.",Global Policy,Exclude,For Consideration,Exclude,Military Ai slightly too niche
Pool 1 (A&B),Do Expressions Change Decisions? Exploring the Impact of AI's Explanation Tone on Decision-Making,"Okoso, Ayano; Yang, Mingzhe; Baba, Yukino",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,Exclude,For Consideration,Exclude,Too vague in emphasising - inferring that there could be dark patterns
Pool 1 (A&B),"Don't Detect, Just Correct: Can LLMs Defuse Deceptive Patterns Directly?","Schäfer, René; Preuschoff, Paul Miles; Niewianda, Rene; Hahn, Sophie; Fiedler, Kevin; Borchers, Jan",Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,Exclude,Include,Include,Good info on dark pattern appearance in LLMs
Pool 1 (A&B),ELEPHANT: Measuring and understanding social sycophancy in LLMs,"Cheng, Myra; Yu, Sunny; Lee, Cinoo; Khadpe, Pranav; Ibrahim, Lujain; Jurafsky, Dan",,Include,For Consideration,Include,Close to our domain - strong paper
Pool 1 (A&B),Empowering Calibrated (Dis-)Trust in Conversational Agents: A User Study on the Persuasive Power of Limitation Disclaimers vs. Authoritative Style,"Metzger, Luise; Miller, Linda; Baumann, Martin; Kraus, Johannes",Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,Include,For Consideration,Include,Worth evaluating on how different style of AI responses constitute to dark patterns and change in trust
Pool 1 (A&B),Engagement-Driven Content Generation with Large Language Models,"Coppolillo, Erica; Cinus, Federico; Minici, Marco; Bonchi, Francesco; Manco, Giuseppe",Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,Exclude,For Consideration,Exclude,frameworks evaluating the wrong area - not dark patterns
Pool 1 (A&B),Epistemic traps: Rational misalignment driven by model misspecification,"Xu, Xingcheng; Qu, Jingjing; Zhang, Qiaosheng; Lu, Chaochao; Yang, Yanqing; Zou, Na; Hu, Xia",,Exclude,For Consideration,Exclude,Very broad
Pool 1 (A&B),"Evaluating Generative AI Incidents: An Exploratory Vignette Study on the Role of Trust, Attitude and AI Literacy","Kox, E.S.; Beretta, B.",,Include,Exclude,Exclude,Not within the domain - vignettes as opposed to dark patterns
Pool 1 (A&B),Exploring Deceptive Design Patterns in Voice Interfaces,"Owens, Kentrell; Gunawan, Johanna; Choffnes, David; Emami-Naeini, Pardis; Kohno, Tadayoshi; Roesner, Franziska",Proceedings of the 2022 European Symposium on Usable Security,Include,For Consideration,Include,Interesting domain of voice interactions
Pool 1 (A&B),Exploring User Acceptance of a Fintech Chatbot powered by LLMs among Older Adults,"Panda, Swaroop; Komal, Farkhandah Aziz; Law, Effie Lai-Chong; Murad, Syed; Sun, Zhongtian; Summerill, Ben; Konu, Delali; Nguyen, Thuy-Vy",Proceedings of the 38th International BCS Human-Computer Interaction Conference,For Consideration,Exclude,Exclude,focus on the wrong part of LLM interactions
Pool 1 (A&B),Exploring the Evolution of Dark Patterns and Manipulative Design on Instagram,"Seyson, Shamim; Willett, Wesley",Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,Exclude,For Consideration,Exclude,potentially useful for RQ1 point in intro
Pool 1 (A&B),Exploring the Use of Dark Patterns in University Websites: Ethical Implications and Impacts on Student Decision-Making,"Shannaq, Boumedyen",2025 3rd International Conference on Business Analytics for Technology and Security (ICBATS),Exclude,For Consideration,Exclude,potentially useful for RQ1 point
Pool 1 (A&B),Expressing stigma and inappropriate responses prevents LLMs from safely replacing mental health providers.,"Moore, Jared; Grabb, Declan; Agnew, William; Klyman, Kevin; Chancellor, Stevie; Ong, Desmond C.; Haber, Nick","Proceedings of the 2025 ACM Conference on Fairness, Accountability, and Transparency",Include,For Consideration,Exclude,potentially useful for RQ1 point - useful background paper
Pool 1 (A&B),Feedback indices to evaluate LLM responses to rebuttals for multiple choice type questions,"Dunlap, Justin C; Parent, Anne-Simone; Widenhorn, Ralf",,Include,Exclude,Exclude,"potentially useful for RQ3 point - paper is method‑oriented, model‑centric, and not focused on conversational manipulation or dark‑pattern HCI outcomes"
Pool 1 (A&B),First impressions of a financial AI assistant: differences between high trust and low trust users,"Schreibelmayr, S.; Moradbakhti, L.; Mara, M.",Frontiers in Artificial Intelligence,Include,Exclude,Exclude,Focus on the characteristics of the user as opposed to the LLM behaviour
Pool 1 (A&B),Flattering to deceive: The impact of sycophantic behavior on user trust in large language model,"Carro, María Victoria",,Include,For Consideration,Include,Strong paper
Pool 1 (A&B),Flattery in motion: Benchmarking and analyzing sycophancy in video-LLMs,"Zhou, Wenrui; Hendy, Mohamed; Yang, Shu; Yang, Qingsong; Guo, Zikun; Luo, Yuyu; Hu, Lijie; Wang, Di",,Exclude,For Consideration,Exclude,Not the correct medium 
Pool 1 (A&B),From C-3PO to HAL: Opening The Discourse About The Dark Side of Multi-Modal Social Agents,"Avanesi, Vino; Rockstroh, Johanna; Mildner, Thomas; Zargham, Nima; Reicherts, Leon; Friehs, Maximilian A.; Kontogiorgos, Dimosthenis; Wenig, Nina; Malaka, Rainer",Proceedings of the 5th International Conference on Conversational User Interfaces,Exclude,Include,Exclude,Background paper for RQ3
Pool 1 (A&B),From ChatGPT to Custom GPTs: Scaffolding Conceptual Learning in Adult Education,"Masalaci, Z.; Shalawadi, S.; Papachristos, E.",,Include,For Consideration,Include,Strong emphasis of dark patterns on user trust and satisfaction
Pool 1 (A&B),From Lived Experience to Insight: Unpacking the Psychological Risks of Using AI Conversational Agents,"Chandra, Mohit; Naik, Suchismita; Ford, Denae; Okoli, Ebele; De Choudhury, Munmun; Ershadi, Mahsa; Ramos, Gonzalo; Hernandez, Javier; Bhattacharjee, Ananya; Warreth, Shahed; Suh, Jina","Proceedings of the 2025 ACM Conference on Fairness, Accountability, and Transparency",Include,Exclude,Include,Useful for understanding psychological effects of dark patterns - COULD BE STRONG
Pool 1 (A&B),From exploration to revelation: Detecting dark patterns in mobile apps,"Chen, Jieshan; Wang, Zhen; Sun, Jiamou; Zou, Wenbo; Xing, Zhenchang; Lu, Qinghua; Huang, Qing; Xu, Xiwei",,Exclude,For Consideration,Include,Good baseline for RQ1 and RQ3 - Good for background info
Pool 1 (A&B),From sycophancy to sensemaking: Premise governance for human-AI decision making,"Jain, Raunak; Khurana, Mudita; Stephens, John; Dharmasanam, Srinivas; Venkataraman, Shankar",,Exclude,For Consideration,Exclude,Good baseline for RQ3 - Good for background info
Pool 1 (A&B),From yes-men to truth-tellers: Addressing sycophancy in large Language Models with pinpoint tuning,"Chen, Wei; Huang, Zhen; Xie, Liang; Lin, Binbin; Li, Houqiang; Lu, Le; Tian, Xinmei; Cai, Deng; Zhang, Yonggang; Wang, Wenxiao; Shen, Xu; Ye, Jieping",,Exclude,For Consideration,Exclude,Good baseline for RQ3 - Good for background info + technical
Pool 1 (A&B),Good arguments against the people pleasers: How reasoning mitigates (yet masks) LLM sycophancy,"Feng, Zhaoxin; Chen, Zheng; Ma, Jianfei; Po, Yip Tin; Chersoni, Emmanuele; Li, Bo",,Exclude,Include,Include,Good baseline for RQ3 + RQ3
Pool 1 (A&B),Have the VLMs lost confidence? A study of sycophancy in VLMs,"Li, Shuo; Ji, Tao; Fan, Xiaoran; Lu, Linsheng; Yang, Leyi; Yang, Yuming; Xi, Zhiheng; Zheng, Rui; Wang, Yuran; Zhao, Xiaohui; Gui, Tao; Zhang, Qi; Huang, Xuanjing",,Exclude,For Consideration,Exclude,Not the right domain (visual)
Pool 1 (A&B),How Trustworthy are Open-Source LLMs? An Assessment under Malicious Demonstrations Shows their Vulnerabilities,"Mo, Lingbo; Wang, Boshi; Chen, Muhao; Sun, Huan",,Exclude,For Consideration,Exclude,Too broad on LLMs impact on trust
Pool 1 (A&B),Human-like social compliance in Large Language Models: Unifying sycophancy and conformity through signal competition dynamics,"Zhang, Long; Chen, Wei-Neng",,Exclude,For Consideration,Exclude,Technical rather than empirical
Pool 1 (A&B),Imposing AI: Deceptive design patterns against sustainability,"Beignon, Anaëlle; Thibault, Thomas; Maudet, Nolwenn",,Exclude,For Consideration,Exclude,Focus on environmental rather than conversational
